iter	Passed	Remaining
401	17094	25429
402	17134	25382
403	17171	25332
404	17227	25310
405	17268	25264
406	17320	25236
407	17363	25193
408	17392	25131
409	17447	25107
410	17500	25079
411	17534	25024
412	17592	25004
413	17663	25002
414	17713	24969
415	17742	24907
416	17783	24863
417	17837	24835
418	17870	24779
419	17903	24723
420	17941	24675
421	17992	24644
422	18028	24592
423	18079	24560
424	18144	24548
425	18192	24512
426	18224	24455
427	18258	24401
428	18301	24359
429	18360	24337
430	18394	24284
431	18429	24231
432	18468	24183
433	18519	24152
434	18593	24150
435	18643	24117
436	18697	24089
437	18753	24062
438	18783	24003
439	18827	23962
440	18879	23931
441	18922	23888
442	18957	23835
443	19024	23823
444	19070	23784
445	19119	23749
446	19152	23694
447	19184	23638
448	19241	23612
449	19269	23551
450	19318	23516
451	19368	23482
452	19403	23429
453	19455	23398
454	19497	23354
455	19553	23326
456	19605	23294
457	19657	23263
458	19713	23234
459	19747	23181
460	19798	23148
461	19824	23086
462	19864	23039
463	19923	23015
464	19971	22978
465	20012	22932
466	20051	22885
467	20096	22845
468	20130	22791
469	20165	22740
470	20220	22710
471	20248	22651
472	20301	22619
473	20342	22574
474	20398	22545
475	20463	22527
476	20504	22481
477	20531	22420
478	20583	22388
479	20640	22360
480	20682	22316
481	20715	22262
482	20745	22206
483	20796	22171
484	20836	22125
485	20893	22097
486	20947	22065
487	20988	22020
488	21031	21977
489	21064	21923
490	21117	21891
491	21162	21850
492	21207	21809
493	21262	21778
494	21313	21743
495	21347	21691
496	21400	21658
497	21428	21600
498	21452	21538
499	21503	21503
500	21553	21467
501	21613	21441
502	21650	21392
503	21678	21334
504	21710	21280
505	21744	21229
506	21797	21195
507	21825	21138
508	21882	21108
509	21931	21071
510	21983	21037
511	22015	20983
512	22056	20938
513	22111	20906
514	22162	20871
515	22213	20835
516	22266	20802
517	22303	20753
518	22378	20740
519	22419	20694
520	22448	20638
521	22488	20592
522	22548	20564
523	22583	20514
524	22616	20462
525	22644	20405
526	22683	20359
527	22724	20314
528	22800	20300
529	22841	20256
530	22883	20211
531	22911	20155
532	22952	20110
533	22995	20067
534	23040	20025
535	23080	19979
536	23130	19943
537	23170	19897
538	23202	19844
539	23275	19827
540	23329	19793
541	23369	19747
542	23429	19718
543	23470	19674
544	23512	19629
545	23544	19577
546	23586	19533
547	23630	19490
548	23700	19469
549	23746	19428
550	23797	19392
551	23841	19349
552	23893	19313
553	23928	19264
554	23976	19224
555	24029	19189
556	24082	19153
557	24124	19109
558	24166	19065
559	24303	19095
560	24343	19049
561	24386	19006
562	24440	18970
563	24496	18936
564	24528	18884
565	24583	18849
566	24621	18802
567	24673	18765
568	24729	18731
569	24771	18687
570	24827	18653
571	24881	18617
572	24918	18569
573	24958	18522
574	24986	18468
575	25013	18412
576	25054	18367
577	25106	18330
578	25158	18293
579	25204	18251
580	25235	18198
581	25263	18144
582	25305	18099
583	25349	18056
584	25404	18021
585	25453	17982
586	25492	17936
587	25534	17891
588	25576	17846
589	25620	17803
590	25656	17755
591	25706	17716
592	25739	17665
593	25766	17611
594	25823	17577
595	25869	17535
596	25896	17481
597	25949	17444
598	25984	17395
599	26024	17349
600	26061	17301
601	26127	17273
602	26159	17222
603	26191	17171
604	26246	17136
605	26304	17102
606	26361	17067
607	26403	17023
608	26442	16977
609	26477	16928
610	26531	16891
611	26579	16851
612	26625	16809
613	26679	16772
614	26730	16733
615	26783	16696
616	26819	16648
617	26870	16609
618	26904	16559
619	26956	16521
620	27012	16486
621	27088	16462
622	27127	16416
623	27181	16378
624	27236	16341
625	27291	16305
626	27336	16262
627	27377	16217
628	27419	16172
629	27462	16128
630	27510	16087
631	27553	16043
632	27603	16004
633	27644	15958
634	27697	15920
635	27736	15874
636	27779	15830
637	27834	15793
638	27878	15749
639	27912	15700
640	27989	15675
641	28034	15633
642	28073	15586
643	28111	15540
644	28153	15495
645	28198	15452
646	28249	15412
647	28300	15373
648	28334	15324
649	28388	15285
650	28443	15248
651	28482	15202
652	28521	15156
653	28556	15107
654	28598	15063
655	28643	15020
656	28689	14978
657	28727	14931
658	28767	14885
659	28805	14839
660	28855	14798
661	28924	14768
662	28978	14729
663	29030	14689
664	29063	14640
665	29101	14594
666	29154	14555
667	29206	14515
668	29247	14470
669	29290	14426
670	29351	14391
671	29396	14348
672	29445	14307
673	29486	14261
674	29531	14219
675	29580	14177
676	29608	14126
677	29647	14080
678	29682	14032
679	29734	13992
680	29805	13961
681	29861	13923
682	29909	13881
683	29941	13832
684	29988	13790
685	30044	13752
686	30094	13711
687	30135	13666
688	30168	13617
689	30226	13579
690	30285	13542
691	30316	13493
692	30371	13454
693	30412	13409
694	30468	13370
695	30509	13326
696	30560	13285
697	30604	13241
698	30641	13194
699	30697	13156
700	30746	13114
701	30778	13065
702	30811	13017
703	30863	12976
704	30919	12937
705	30974	12898
706	31014	12853
707	31057	12808
708	31112	12769
709	31176	12733
710	31215	12688
711	31248	12639
712	31288	12594
713	31321	12546
714	31377	12507
715	31421	12463
716	31448	12412
717	31497	12370
718	31525	12320
719	31577	12280
720	31618	12235
721	31689	12201
722	31737	12159
723	31777	12114
724	31817	12068
725	31873	12029
726	31918	11986
727	31971	11945
728	32024	11904
729	32065	11859
730	32107	11815
731	32158	11773
732	32206	11731
733	32233	11681
734	32285	11640
735	32327	11595
736	32362	11548
737	32416	11508
738	32455	11462
739	32495	11417
740	32534	11371
741	32577	11327
742	32632	11287
743	32670	11241
744	32709	11195
745	32748	11150
746	32803	11109
747	32845	11065
748	32882	11019
749	32921	10973
750	32974	10932
751	33026	10891
752	33088	10853
753	33146	10814
754	33186	10769
755	33219	10721
756	33270	10679
757	33324	10639
758	33364	10594
759	33416	10552
760	33468	10511
761	33516	10468
762	33589	10433
763	33629	10388
764	33670	10343
765	33712	10298
766	33755	10254
767	33806	10212
768	33857	10170
769	33908	10128
770	33950	10083
771	33995	10039
772	34060	10002
773	34098	9956
774	34139	9911
775	34190	9869
776	34244	9828
777	34292	9785
778	34343	9743
779	34376	9695
780	34408	9648
781	34451	9604
782	34483	9556
783	34546	9517
784	34585	9472
785	34624	9426
786	34676	9385
787	34725	9342
788	34769	9298
789	34801	9250
790	34852	9208
791	34905	9167
792	34977	9130
793	35014	9084
794	35063	9041
795	35094	8994
796	35148	8952
797	35205	8911
798	35245	8866
799	35284	8821
800	35338	8779
801	35396	8738
802	35470	8702
803	35501	8654
804	35550	8611
805	35600	8568
806	35656	8527
807	35710	8485
808	35754	8441
809	35795	8396
810	35842	8352
811	35919	8316
812	35944	8267
813	35982	8221
814	36023	8177
815	36065	8132
816	36108	8087
817	36149	8043
818	36179	7995
819	36210	7948
820	36235	7900
821	36275	7855
822	36345	7816
823	36386	7771
824	36417	7724
825	36457	7679
826	36491	7633
827	36532	7588
828	36558	7540
829	36594	7495
830	36622	7447
831	36677	7405
832	36730	7363
833	36781	7320
834	36824	7276
835	36899	7238
836	36938	7193
837	36990	7150
838	37042	7108
839	37086	7064
840	37115	7017
841	37154	6972
842	37187	6925
843	37227	6880
844	37269	6836
845	37331	6795
846	37388	6753
847	37427	6708
848	37470	6664
849	37525	6622
850	37580	6579
851	37633	6537
852	37673	6492
853	37730	6450
854	37773	6406
855	37839	6365
856	37870	6319
857	37920	6275
858	37970	6232
859	38023	6189
860	38060	6144
861	38102	6100
862	38133	6053
863	38229	6017
864	38275	5973
865	38345	5933
866	38385	5888
867	38435	5845
868	38479	5800
869	38522	5756
870	38568	5712
871	38617	5668
872	38643	5621
873	38677	5575
874	38723	5531
875	38796	5491
876	38835	5446
877	38867	5400
878	38907	5355
879	38960	5312
880	39019	5270
881	39060	5225
882	39109	5182
883	39149	5137
884	39191	5092
885	39235	5048
886	39284	5004
887	39333	4961
888	39373	4916
889	39431	4873
890	39487	4830
891	39539	4787
892	39589	4743
893	39632	4699
894	39702	4657
895	39757	4614
896	39795	4569
897	39821	4523
898	39861	4478
899	39914	4434
900	39970	4391
901	40009	4346
902	40059	4303
903	40109	4259
904	40150	4214
905	40198	4170
906	40251	4127
907	40302	4083
908	40343	4038
909	40387	3994
910	40423	3949
911	40477	3905
912	40527	3861
913	40566	3817
914	40608	3772
915	40680	3730
916	40736	3687
917	40766	3641
918	40806	3596
919	40847	3551
920	40901	3508
921	40934	3463
922	40975	3418
923	41027	3374
924	41069	3329
925	41139	3287
926	41199	3244
927	41251	3200
928	41305	3156
929	41363	3113
930	41415	3069
931	41469	3025
932	41522	2981
933	41591	2939
934	41631	2894
935	41669	2849
936	41721	2805
937	41755	2759
938	41809	2716
939	41848	2671
940	41882	2626
941	41922	2581
942	41956	2536
943	42073	2495
944	42122	2451
945	42175	2407
946	42218	2362
947	42273	2318
948	42308	2273
949	42351	2229
950	42406	2184
951	42446	2140
952	42499	2095
953	42539	2051
954	42615	2008
955	42655	1963
956	42699	1918
957	42734	1873
