iter	Logloss
0	0.6648792372
1	0.6380618455
2	0.6133610962
3	0.5909841753
4	0.5699467373
5	0.5503651783
6	0.5318266141
7	0.5152237501
8	0.4992200781
9	0.4856307056
10	0.4724973013
11	0.4597743374
12	0.4479900317
13	0.436940492
14	0.4278589787
15	0.419260049
16	0.4099816561
17	0.4015898326
18	0.3936503914
19	0.3862827566
20	0.379387293
21	0.372965621
22	0.3670085233
23	0.3619404123
24	0.3567829192
25	0.3525847496
26	0.3482067534
27	0.3439230533
28	0.3400289954
29	0.3363645685
30	0.3329723253
31	0.3297965382
32	0.3267793014
33	0.3239216243
34	0.3213498105
35	0.3190528366
36	0.3167680284
37	0.3147141792
38	0.312722592
39	0.310946903
40	0.3091082084
41	0.3073730535
42	0.3060486313
43	0.3045702009
44	0.3035406467
45	0.3022480195
46	0.3010135903
47	0.2997820033
48	0.2988604779
49	0.2978267533
50	0.2969068216
51	0.295929356
52	0.2950333304
53	0.2942190634
54	0.2934023793
55	0.2927239785
56	0.2919843782
57	0.2913172132
58	0.2907230148
59	0.2901029979
60	0.289715162
61	0.2891992427
62	0.2886648626
63	0.2882176068
64	0.2877642948
65	0.2873509059
66	0.2869950244
67	0.2865806527
68	0.2861955792
69	0.2858714927
70	0.2855306986
71	0.2852046731
72	0.2849165519
73	0.2846178856
74	0.2843377331
75	0.2841077303
76	0.2838852977
77	0.2836524527
78	0.2834431684
79	0.2832779244
80	0.2830952821
81	0.2829001821
82	0.2827465193
83	0.2825874909
84	0.2824220344
85	0.2822628466
86	0.2821228899
87	0.281987741
88	0.2818470937
89	0.2817277759
90	0.2816007019
91	0.281504387
92	0.281418644
93	0.2813352649
94	0.2812328673
95	0.2811339228
96	0.2810685796
97	0.2810066629
98	0.2809180245
99	0.2808436501
100	0.2807798741
101	0.2807406681
102	0.2806844358
103	0.280616516
104	0.280556618
105	0.2804949935
106	0.280427605
107	0.2803805366
108	0.2803372136
109	0.2802887905
110	0.2802338597
111	0.2801835507
112	0.2801343042
113	0.2800903437
114	0.2800422128
115	0.2800003506
116	0.2799595509
117	0.2799210622
118	0.2798852562
119	0.2798495831
120	0.2798194083
121	0.2797875601
122	0.2797570401
123	0.2797347543
124	0.2797208357
125	0.2796940609
126	0.2796693314
127	0.2796513222
128	0.2796393691
129	0.2796146131
130	0.2795952492
131	0.2795720869
132	0.2795513683
133	0.2795356434
134	0.2795221498
135	0.2795061061
136	0.2794930109
137	0.2794760642
138	0.2794600737
139	0.2794491832
140	0.2794334848
141	0.2794186365
142	0.2794057538
143	0.279393057
144	0.2793806259
145	0.2793685135
146	0.279360412
147	0.2793520183
148	0.2793388169
149	0.2793270763
150	0.2793171686
151	0.2793100233
152	0.2793004343
153	0.2792953609
154	0.2792876844
155	0.2792814689
156	0.2792755986
157	0.2792664081
158	0.2792583066
159	0.2792551722
160	0.2792473363
161	0.2792400051
162	0.2792334177
163	0.2792246787
164	0.2792188084
165	0.279216896
166	0.2792121147
167	0.2792050492
168	0.2792007195
169	0.2791963899
170	0.279191529
171	0.2791864024
172	0.2791819665
173	0.2791788853
174	0.2791727494
175	0.2791666135
176	0.2791632667
177	0.2791600792
178	0.279154634
179	0.2791509949
180	0.2791462137
181	0.2791432919
182	0.2791406356
183	0.2791372622
184	0.2791348982
185	0.2791322419
186	0.2791297982
187	0.2791277529
188	0.2791244326
189	0.2791205545
190	0.2791180046
191	0.2791154811
192	0.2791115765
193	0.2791081234
194	0.2791048562
195	0.2791013766
196	0.279097286
197	0.2790951876
198	0.2790930094
199	0.2790888392
200	0.2790880157
201	0.2790877501
202	0.2790858642
203	0.2790837126
204	0.2790815877
205	0.2790813486
206	0.2790787455
207	0.279078108
208	0.2790758236
209	0.2790742033
210	0.2790705643
211	0.2790675362
212	0.2790669253
213	0.2790637378
214	0.2790616925
215	0.2790595675
216	0.2790578941
217	0.2790564066
218	0.2790563004
219	0.279054016
220	0.2790517316
221	0.2790505363
222	0.2790491817
223	0.2790473754
224	0.2790451176
225	0.2790430723
226	0.2790420099
227	0.279040363
228	0.2790373615
229	0.2790356083
230	0.279034599
231	0.2790336959
232	0.2790325537
233	0.2790323943
234	0.2790321552
235	0.2790309068
236	0.279029074
237	0.279027374
238	0.2790262319
239	0.2790252756
240	0.2790226194
241	0.2790209194
242	0.2790192725
243	0.2790177319
244	0.2790168022
245	0.2790151023
246	0.279014146
247	0.2790129773
248	0.2790104539
249	0.2790090726
250	0.2790076383
251	0.2790076117
252	0.279006257
253	0.2790046633
254	0.2790045039
255	0.2790038133
256	0.2790022195
257	0.2790000946
258	0.2789987399
259	0.2789980758
260	0.2789960837
261	0.2789956055
262	0.2789936931
263	0.2789924977
264	0.2789900806
265	0.2789889118
266	0.2789888322
267	0.2789877431
268	0.2789870525
269	0.2789864947
270	0.2789853525
271	0.2789843166
272	0.2789833072
273	0.278981926
274	0.2789813947
275	0.2789794557
276	0.278978951
277	0.278978526
278	0.2789776494
279	0.2789770119
280	0.2789766401
281	0.2789748073
282	0.2789743026
283	0.2789738776
284	0.2789739041
285	0.2789726823
286	0.2789712745
287	0.2789707432
288	0.2789698667
289	0.2789689636
290	0.2789685651
291	0.2789685651
292	0.2789676089
293	0.278965723
294	0.2789652183
295	0.2789646605
296	0.2789637042
297	0.2789619777
298	0.2789616589
299	0.2789611277
300	0.2789608355
301	0.2789600386
302	0.2789596136
303	0.2789587371
304	0.2789583652
305	0.2789575152
306	0.2789561074
307	0.278955523
308	0.2789547527
309	0.2789537168
310	0.2789536902
311	0.2789538231
312	0.2789537168
313	0.2789537434
314	0.2789528403
315	0.2789519371
316	0.2789519371
317	0.2789515387
318	0.2789515387
319	0.2789515387
320	0.2789501575
321	0.2789492543
322	0.2789491215
323	0.2789487762
324	0.2789480856
325	0.2789465981
326	0.2789450841
327	0.278944845
328	0.2789438888
329	0.2789425075
330	0.2789413653
331	0.2789409669
332	0.2789408075
333	0.2789404357
334	0.2789398513
335	0.2789391607
336	0.2789382576
337	0.2789383372
338	0.2789376997
339	0.2789370888
340	0.2789364513
341	0.2789364248
342	0.2789357076
343	0.2789354154
344	0.278935017
345	0.2789335826
346	0.2789331045
347	0.2789331576
348	0.278932706
349	0.2789319623
350	0.2789317232
351	0.2789310592
352	0.2789308201
353	0.2789308201
354	0.2789304217
355	0.2789294389
356	0.2789288545
357	0.2789285358
358	0.2789281639
359	0.278927553
360	0.2789275264
361	0.2789269686
362	0.2789268623
363	0.2789261983
364	0.2789253483
365	0.2789251092
366	0.278924817
367	0.278924578
368	0.278924578
369	0.2789234092
370	0.2789231436
371	0.2789230108
372	0.2789227452
373	0.2789221077
374	0.2789217093
375	0.2789212046
376	0.2789208327
377	0.2789206202
378	0.2789199561
379	0.2789196374
380	0.2789185483
381	0.2789184687
382	0.2789178577
383	0.278917539
384	0.2789172468
385	0.2789172468
386	0.2789166093
387	0.2789164499
388	0.2789164234
389	0.2789153343
390	0.2789150156
391	0.278914564
392	0.2789140062
393	0.2789134218
394	0.2789125718
395	0.2789119609
396	0.2789119609
397	0.2789112968
398	0.2789107922
399	0.2789102875
400	0.278910075
401	0.2789093047
402	0.278909225
403	0.2789090125
404	0.2789089062
405	0.278908614
406	0.2789081094
407	0.2789071797
408	0.2789071797
409	0.2789071531
410	0.2789071797
411	0.2789064625
412	0.2789063828
413	0.2789060906
414	0.2789056391
415	0.2789052406
416	0.2789046828
417	0.2789039656
418	0.2789038063
419	0.2789036735
420	0.278902611
421	0.2789025844
422	0.278901575
423	0.2789014954
424	0.278900911
425	0.2789008844
426	0.2789004594
427	0.2789002204
428	0.2788991313
429	0.2788982016
430	0.2788979891
431	0.2788977501
432	0.2788973251
433	0.2788965282
434	0.2788961298
435	0.2788961829
436	0.2788958907
437	0.2788958376
438	0.2788956516
439	0.2788953329
440	0.2788952267
441	0.2788948548
442	0.2788947485
443	0.2788943235
444	0.2788941642
445	0.2788941907
446	0.2788937923
447	0.2788935798
448	0.278893261
449	0.2788923314
450	0.2788918267
451	0.2788914017
452	0.2788906579
453	0.2788902329
454	0.2788896486
455	0.278889197
456	0.2788890376
457	0.2788890376
458	0.2788886658
459	0.278888347
460	0.2788883205
461	0.2788880017
462	0.2788872845
463	0.278887072
464	0.2788870455
465	0.2788868595
466	0.2788867002
467	0.2788864345
468	0.2788863548
469	0.2788858236
470	0.2788856642
471	0.278885558
472	0.2788855314
473	0.2788854252
474	0.2788846814
475	0.2788846814
476	0.2788843627
477	0.2788843361
478	0.2788841502
479	0.2788840174
